Sample,Trigger,burst/period_cnt,burst/FIBER_AOM_TTL_tem,burst/TTL_tem,core/lock,burst/state,burst/bst_cnt,core/BST_NUM,burst/BST_NUM_reg,core/BST_PERIOD,burst/BST_PERIOD_reg
5166,0,0000000001000111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5167,0,0000000001001000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5168,0,0000000001001000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5169,0,0000000001001000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5170,0,0000000001001001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5171,0,0000000001001001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5172,0,0000000001001010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5173,0,0000000001001010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5174,0,0000000001001010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5175,0,0000000001001011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5176,0,0000000001001011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5177,0,0000000001001011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5178,0,0000000001001100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5179,0,0000000001001100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5180,0,0000000001001100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5181,0,0000000001001101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5182,0,0000000001001101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5183,0,0000000001001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5184,0,0000000001001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5185,0,0000000001001110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5186,0,0000000001001111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5187,0,0000000001001111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5188,0,0000000001001111,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5189,0,0000000001010000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5190,0,0000000001010000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5191,0,0000000001010000,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5192,0,0000000001010001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5193,0,0000000001010001,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5194,0,0000000001010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5195,0,0000000001010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5196,0,0000000001010010,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5197,0,0000000001010011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5198,0,0000000001010011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5199,0,0000000001010011,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5200,0,0000000001010100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5201,0,0000000001010100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5202,0,0000000001010100,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5203,0,0000000001010101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5204,0,0000000001010101,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5205,0,0000000001010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
5206,0,0000000001010110,0,1,0,101,0000,0000,0000,0000000101101010,0000000101101010
